track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,992.68,1007,-8.973,0.738,3.06,4.69,1.93
1,2,200,car,991.783,1007.072,-8.981,0.721,3.061,4.69,1.93
1,3,300,car,990.884,1007.141,-8.986,0.703,3.064,4.69,1.93
1,4,400,car,989.985,1007.208,-8.988,0.682,3.066,4.69,1.93
1,5,500,car,989.086,1007.273,-8.988,0.659,3.068,4.69,1.93
1,6,600,car,988.187,1007.335,-8.988,0.634,3.071,4.69,1.93
1,7,700,car,987.288,1007.394,-8.988,0.607,3.074,4.69,1.93
1,8,800,car,986.389,1007.45,-8.99,0.577,3.077,4.69,1.93
1,9,900,car,985.49,1007.503,-8.996,0.545,3.081,4.69,1.93
1,10,1000,car,984.59,1007.552,-9.006,0.508,3.085,4.69,1.93
1,11,1100,car,983.689,1007.596,-9.019,0.468,3.09,4.69,1.93
1,12,1200,car,982.787,1007.636,-9.034,0.424,3.095,4.69,1.93
1,13,1300,car,981.883,1007.671,-9.052,0.375,3.1,4.69,1.93
1,14,1400,car,980.977,1007.701,-9.071,0.321,3.106,4.69,1.93
1,15,1500,car,980.07,1007.724,-9.09,0.263,3.113,4.69,1.93
1,16,1600,car,979.16,1007.741,-9.108,0.2,3.12,4.69,1.93
1,17,1700,car,978.249,1007.751,-9.123,0.134,3.127,4.69,1.93
1,18,1800,car,977.337,1007.754,-9.136,0.064,3.135,4.69,1.93
1,19,1900,car,976.423,1007.749,-9.145,-0.009,-3.141,4.69,1.93
1,20,2000,car,975.509,1007.737,-9.151,-0.084,-3.132,4.69,1.93
1,21,2100,car,974.594,1007.717,-9.153,-0.16,-3.124,4.69,1.93
1,22,2200,car,973.679,1007.69,-9.151,-0.237,-3.116,4.69,1.93
1,23,2300,car,972.764,1007.655,-9.146,-0.312,-3.107,4.69,1.93
1,24,2400,car,971.85,1007.613,-9.137,-0.386,-3.099,4.69,1.93
1,25,2500,car,970.937,1007.563,-9.126,-0.458,-3.091,4.69,1.93
1,26,2600,car,970.025,1007.507,-9.112,-0.526,-3.084,4.69,1.93
1,27,2700,car,969.114,1007.445,-9.096,-0.59,-3.077,4.69,1.93
1,28,2800,car,968.205,1007.377,-9.078,-0.65,-3.07,4.69,1.93
1,29,2900,car,967.298,1007.303,-9.06,-0.705,-3.064,4.69,1.93
1,30,3000,car,966.393,1007.225,-9.041,-0.755,-3.058,4.69,1.93
1,31,3100,car,965.489,1007.143,-9.022,-0.801,-3.053,4.69,1.93
1,32,3200,car,964.587,1007.056,-9.005,-0.841,-3.048,4.69,1.93
1,33,3300,car,963.688,1006.967,-8.987,-0.876,-3.044,4.69,1.93
1,34,3400,car,962.789,1006.874,-8.971,-0.907,-3.041,4.69,1.93
1,35,3500,car,961.893,1006.779,-8.955,-0.934,-3.038,4.69,1.93
1,36,3600,car,960.997,1006.682,-8.94,-0.956,-3.035,4.69,1.93
1,37,3700,car,960.104,1006.584,-8.925,-0.975,-3.033,4.69,1.93
1,38,3800,car,959.211,1006.484,-8.912,-0.989,-3.031,4.69,1.93
1,39,3900,car,958.32,1006.383,-8.9,-1,-3.03,4.69,1.93
1,40,4000,car,957.431,1006.282,-8.889,-1.007,-3.029,4.69,1.93
1,41,4100,car,956.542,1006.181,-8.879,-1.009,-3.028,4.69,1.93
1,42,4200,car,955.654,1006.08,-8.872,-1.008,-3.028,4.69,1.93
1,43,4300,car,954.767,1005.98,-8.866,-1.002,-3.029,4.69,1.93
1,44,4400,car,953.88,1005.881,-8.863,-0.991,-3.03,4.69,1.93
1,45,4500,car,952.993,1005.784,-8.862,-0.976,-3.032,4.69,1.93
1,46,4600,car,952.107,1005.69,-8.865,-0.956,-3.034,4.69,1.93
1,47,4700,car,951.22,1005.598,-8.872,-0.932,-3.037,4.69,1.93
1,48,4800,car,950.332,1005.509,-8.883,-0.902,-3.04,4.69,1.93
1,49,4900,car,949.443,1005.425,-8.9,-0.868,-3.044,4.69,1.93
1,50,5000,car,948.552,1005.344,-8.923,-0.83,-3.049,4.69,1.93
1,51,5100,car,947.659,1005.268,-8.952,-0.788,-3.054,4.69,1.93
1,52,5200,car,946.764,1005.196,-8.989,-0.741,-3.059,4.69,1.93
1,53,5300,car,945.864,1005.13,-9.034,-0.691,-3.065,4.69,1.93
1,54,5400,car,944.96,1005.07,-9.085,-0.637,-3.072,4.69,1.93
1,55,5500,car,944.051,1005.015,-9.144,-0.579,-3.078,4.69,1.93
1,56,5600,car,943.136,1004.967,-9.21,-0.518,-3.085,4.69,1.93
1,57,5700,car,942.214,1004.925,-9.282,-0.453,-3.093,4.69,1.93
1,58,5800,car,941.285,1004.89,-9.359,-0.386,-3.1,4.69,1.93
1,59,5900,car,940.349,1004.862,-9.439,-0.316,-3.108,4.69,1.93
1,60,6000,car,939.405,1004.841,-9.521,-0.243,-3.116,4.69,1.93
1,61,6100,car,938.453,1004.828,-9.605,-0.17,-3.124,4.69,1.93
1,62,6200,car,937.492,1004.821,-9.689,-0.095,-3.132,4.69,1.93
1,63,6300,car,936.523,1004.822,-9.771,-0.019,-3.14,4.69,1.93
1,64,6400,car,935.546,1004.831,-9.852,0.055,3.136,4.69,1.93
1,65,6500,car,934.561,1004.847,-9.931,0.129,3.129,4.69,1.93
1,66,6600,car,933.568,1004.869,-10.008,0.201,3.121,4.69,1.93
