track_id,frame_id,timestamp_ms,agent_type,x,y,vx,vy,psi_rad,length,width
1,1,100,car,1035.462,996.876,-2.097,0.485,2.915,3.75,1.76
1,2,200,car,1035.252,996.925,-2.079,0.483,2.913,3.75,1.76
1,3,300,car,1035.045,996.975,-2.039,0.476,2.912,3.75,1.76
1,4,400,car,1034.841,997.025,-1.975,0.464,2.911,3.75,1.76
1,5,500,car,1034.644,997.073,-1.89,0.446,2.91,3.75,1.76
1,6,600,car,1034.456,997.119,-1.788,0.425,2.908,3.75,1.76
1,7,700,car,1034.277,997.164,-1.675,0.401,2.907,3.75,1.76
1,8,800,car,1034.11,997.206,-1.556,0.375,2.905,3.75,1.76
1,9,900,car,1033.955,997.245,-1.433,0.347,2.904,3.75,1.76
1,10,1000,car,1033.812,997.281,-1.312,0.32,2.902,3.75,1.76
1,11,1100,car,1033.681,997.315,-1.194,0.293,2.901,3.75,1.76
1,12,1200,car,1033.562,997.346,-1.084,0.268,2.9,3.75,1.76
1,13,1300,car,1033.454,997.374,-0.983,0.244,2.898,3.75,1.76
1,14,1400,car,1033.356,997.4,-0.893,0.223,2.897,3.75,1.76
1,15,1500,car,1033.267,997.423,-0.815,0.204,2.896,3.75,1.76
1,16,1600,car,1033.186,997.445,-0.749,0.189,2.895,3.75,1.76
1,17,1700,car,1033.111,997.465,-0.694,0.176,2.894,3.75,1.76
1,18,1800,car,1033.042,997.484,-0.651,0.166,2.893,3.75,1.76
1,19,1900,car,1032.977,997.502,-0.619,0.158,2.892,3.75,1.76
1,20,2000,car,1032.916,997.518,-0.595,0.152,2.891,3.75,1.76
1,21,2100,car,1032.857,997.535,-0.579,0.149,2.89,3.75,1.76
1,22,2200,car,1032.799,997.551,-0.57,0.147,2.889,3.75,1.76
1,23,2300,car,1032.742,997.567,-0.566,0.147,2.888,3.75,1.76
1,24,2400,car,1032.686,997.582,-0.566,0.147,2.887,3.75,1.76
1,25,2500,car,1032.63,997.598,-0.568,0.148,2.886,3.75,1.76
1,26,2600,car,1032.573,997.614,-0.572,0.15,2.885,3.75,1.76
1,27,2700,car,1032.516,997.63,-0.576,0.151,2.884,3.75,1.76
1,28,2800,car,1032.459,997.646,-0.579,0.153,2.883,3.75,1.76
1,29,2900,car,1032.401,997.663,-0.581,0.154,2.882,3.75,1.76
1,30,3000,car,1032.343,997.68,-0.579,0.154,2.881,3.75,1.76
1,31,3100,car,1032.286,997.696,-0.575,0.154,2.88,3.75,1.76
1,32,3200,car,1032.229,997.713,-0.566,0.152,2.879,3.75,1.76
1,33,3300,car,1032.172,997.73,-0.553,0.149,2.878,3.75,1.76
1,34,3400,car,1032.117,997.746,-0.536,0.145,2.877,3.75,1.76
1,35,3500,car,1032.064,997.762,-0.513,0.14,2.876,3.75,1.76
1,36,3600,car,1032.013,997.778,-0.486,0.133,2.875,3.75,1.76
1,37,3700,car,1031.965,997.792,-0.455,0.125,2.873,3.75,1.76
1,38,3800,car,1031.92,997.806,-0.42,0.116,2.872,3.75,1.76
1,39,3900,car,1031.878,997.82,-0.383,0.106,2.871,3.75,1.76
1,40,4000,car,1031.84,997.832,-0.343,0.095,2.87,3.75,1.76
1,41,4100,car,1031.806,997.842,-0.302,0.084,2.869,3.75,1.76
1,42,4200,car,1031.777,997.852,-0.259,0.073,2.868,3.75,1.76
1,43,4300,car,1031.751,997.86,-0.217,0.061,2.868,3.75,1.76
1,44,4400,car,1031.73,997.867,-0.175,0.049,2.867,3.75,1.76
1,45,4500,car,1031.712,997.873,-0.134,0.038,2.867,3.75,1.76
1,46,4600,car,1031.689,997.881,0.0,0.0,2.866,3.75,1.76
1,47,4700,car,1031.689,997.881,0.0,0.0,2.866,3.75,1.76
1,48,4800,car,1031.689,997.881,0.0,0.0,2.866,3.75,1.76
1,49,4900,car,1031.689,997.881,0.0,0.0,2.866,3.75,1.76
1,50,5000,car,1031.689,997.881,0.0,0.0,2.866,3.75,1.76
1,51,5100,car,1031.689,997.881,0.0,0.0,2.866,3.75,1.76
1,52,5200,car,1031.689,997.881,0.0,0.0,2.866,3.75,1.76
1,53,5300,car,1031.689,997.881,0.0,0.0,2.866,3.75,1.76
